countrycode,countryname,cluster,proba_0,proba_1,proba_2,proba_3,proba_4,proba_5,proba_6,dist_to_centroid_euclid,dist_to_centroid_mahalanobis
ETH,Ethiopia,4,5.788785851723378e-05,0.0,1.7727344721055834e-70,0.0,0.9999421121414823,4.877214544104427e-16,0.0,1.9254380738532968,3.2420370525759186
FIN,Finland,2,3.566211716094498e-14,0.0,0.9999999999995817,0.0,3.825727482211229e-13,4.4471400275581544e-135,0.0,0.9915146588345337,2.5755274007882316
FJI,Fiji,2,0.39325533544570135,0.0,0.6067444952717654,0.0,1.6928253290913578e-07,6.658672967003202e-132,0.0,1.1365360304071797,3.1734824377124298
FRA,France,2,1.6107540840968008e-12,0.0,0.9999999999983142,0.0,7.481858668567061e-14,3.3672558673066305e-95,0.0,1.1496521470013674,3.308434974652525
FSM,"Micronesia, Federated States of",4,1.594230533478053e-23,0.0,1.371945934831343e-41,0.0,1.0,4.36113698875236e-113,0.0,2.9886442335405676,4.10893691617381
GAB,Gabon,4,9.42023173886613e-05,0.0,3.1335722445305687e-12,0.0,0.9999057976794777,1.0815628596140799e-19,0.0,1.5038003112888667,3.013395964831797
GBR,United Kingdom,2,6.645497565196858e-10,0.0,0.9999996419071145,0.0,3.5742833555473616e-07,3.247559179657364e-163,0.0,1.1734512306230835,3.663310349476294
GEO,Georgia,0,0.9997581162110648,0.0,4.207722159840264e-35,0.0,0.00024188378893513969,1.0426139031464053e-95,0.0,1.5935129970998623,3.3239674749437413
GHA,Ghana,4,0.004394356720865929,0.0,8.399457500667711e-10,0.0,0.9956056424391884,3.1589444986638767e-40,0.0,1.55760395317842,2.938149155111178
GIN,Guinea,4,2.0319271460747087e-08,0.0,3.5435914984876597e-43,0.0,0.9999999796807285,4.5862172464932624e-23,0.0,1.5996177481977063,2.7020001418221544
GMB,"Gambia, The",4,1.375680059036533e-08,0.0,1.8541724292108527e-28,0.0,0.9999999862431994,8.476428599342001e-29,0.0,0.9063386309597483,2.140531558780843
GNB,Guinea-Bissau,5,6.834005051483431e-22,0.0,6.416082256076309e-81,0.0,7.951800469451236e-07,0.9999992048199531,0.0,1.3676588459784895,3.161051762535317
GNQ,Equatorial Guinea,5,3.6442806207006642e-22,0.0,7.902116116725977e-89,0.0,2.9257828391752724e-06,0.9999970742171608,0.0,1.8784835243514264,3.1617898487773073
GRC,Greece,2,3.412985041588622e-41,0.0,1.0,0.0,1.823842459863772e-17,5.527671308574767e-170,0.0,1.627270964650418,5.576495690850837
GRD,Grenada,2,0.37927805319279884,0.0,0.6207216291633868,0.0,3.1764381460005344e-07,5.466768741371652e-139,0.0,0.7509965131876933,3.2320662234516915
GTM,Guatemala,0,0.9719945518610676,0.0,0.005404945180532675,0.0,0.02260050295839964,6.6762014930969465e-78,0.0,1.9653179347522447,3.201317129472546
GUY,Guyana,0,0.9951314066807727,0.0,9.895023218457914e-27,0.0,0.004868593319227385,3.362831076351446e-39,0.0,1.7495096087237951,2.7654432778771323
HKG,Hong Kong,2,2.828874492740892e-08,0.0,0.9999993510066726,0.0,6.207045823635394e-07,4.643933302888433e-78,0.0,1.390436346163325,2.8897912159972554
HND,Honduras,4,0.03541358772864587,0.0,0.0004570281115023364,0.0,0.9641293841598518,3.5616668539002044e-66,0.0,1.4545455310425903,2.706605163219935
HRV,Croatia,2,3.4740041700721543e-06,0.0,0.9999965259886175,0.0,7.212414224569432e-12,5.828647285376843e-150,0.0,0.4957837194479955,2.5687313652303247
HTI,Haiti,4,4.809927846922626e-07,0.0,4.125303046222247e-19,0.0,0.9999995190072153,2.876482525759255e-29,0.0,1.7488419888312265,2.998368197844959
HUN,Hungary,2,1.6246203862885337e-07,0.0,0.9999998375376141,0.0,3.4704593015253696e-13,1.6267233906024212e-114,0.0,0.5524252348132235,2.1810723246371664
IDN,Indonesia,0,0.9999922984946288,0.0,2.705615765115209e-13,0.0,7.701505100646706e-06,2.1241865536288737e-78,0.0,0.6866444963619699,2.548993865816458
IND,India,4,2.0595185186833765e-05,0.0,1.858518127171289e-18,0.0,0.9999794048148132,1.5424291445197133e-44,0.0,0.7858401277552688,2.5082006025550543
IRL,Ireland,2,6.27579927205335e-30,0.0,0.9999999999994758,0.0,5.243303965417812e-13,1.0169869836690904e-99,0.0,1.1644915987039073,4.631803495189059
IRN,Iran,6,2.3075716983438678e-43,0.0,1.1748550291526729e-72,0.0,6.819079698368138e-36,1.0912980650924832e-208,1.0,2.352418076539872,1.9999557011668836
IRQ,Iraq,1,1.5847763941021687e-25,1.0,4.739924305581376e-47,0.0,1.1202970201431573e-21,3.5679303415852985e-43,0.0,1.9878810767348185,2.449484244418244
